data,sku,previsao
2024-04-09,629,47.6
2024-04-10,629,46.3
2024-04-11,629,47.7
2024-04-12,629,46.4
2024-04-13,629,47.6
2024-04-14,629,46.5
2024-04-15,629,47.5
