data,sku,previsao
2024-04-09,630,34.1
2024-04-10,630,38.5
2024-04-11,630,36.3
2024-04-12,630,38.5
2024-04-13,630,36.6
2024-04-14,630,38.3
2024-04-15,630,36.8
