data,sku,previsao
2024-04-09,600,64.1
2024-04-10,600,65.6
2024-04-11,600,65.7
2024-04-12,600,65.9
2024-04-13,600,65.8
2024-04-14,600,65.8
2024-04-15,600,65.8
