data,sku,previsao
2024-04-09,47,34.5
2024-04-10,47,33.2
2024-04-11,47,33.5
2024-04-12,47,33.1
2024-04-13,47,33.4
2024-04-14,47,33.2
2024-04-15,47,33.4
