data,sku,previsao
2024-04-09,639,24.9
2024-04-10,639,26.6
2024-04-11,639,25.8
2024-04-12,639,26.5
2024-04-13,639,25.9
2024-04-14,639,26.4
2024-04-15,639,26.0
